Cluster ID,id,name,birth_year,death_year
372,fk__p_37572,HANSI4EVER,1000,1000
373,fk__p_37574,"Salomon, Siegfried",1876,1000
374,fk__p_37575,"Abeles, S.",1000,1000
375,fk__p_37576,"Aldor, S.",1000,1000
376,fk__p_37577,"Altenberg, Sidonie",1000,1000
0,fk__p_37578,"B., S.",1000,1000
377,fk__p_37579,"Bleichröder, S. (Bankhaus)",1000,1000
378,fk__p_37580,"Burger, Samuel",1835,1902
379,fk__p_37581,"Dyk, S. (Verlag?)",1000,1000
380,fk__p_37583,— E —,1000,1000
1,fk__p_37584,"Fischer, Samuel",1858,1934
381,fk__p_37586,"Smith, Samuel Geroge",1852,1915
382,fk__p_37589,"Caillaux, Joseph",1863,1944
383,fk__p_37590,"K., S.",1000,1900
384,fk__p_37591,"Kantorowitsch, S. ",1000,1000
385,fk__p_37592,"Löwinger, Sigmund",1854,1925
386,fk__p_37595,"M., S.",1000,1000
387,fk__p_37599,"Ostheimer, Siegfried",1891,1949
388,fk__p_37601,"Pohorille, S.",1000,1000
389,fk__p_37602,"R., S.",1000,1000
390,fk__p_37605,"Reitzes, Siegmund",1835,1906
391,fk__p_37608,"Schenk, Samuel Leopold",1840,1902
392,fk__p_37609,"Steingraber, Simon",1844,1923
393,fk__p_37610,"Tschernichowski, Scha'ul",1875,1943
394,fk__p_37612,"Groedel de Gyulafalva et Bogdán, Albert? Freiherr",1868,1000
395,fk__p_37613,"Haymerle, Rudolf Freiherr von",1883,1942
396,fk__p_37615,"Calice, Franz Graf ",1875,1935
397,fk__p_37621,?,1000,1000
398,fk__p_37622,„Schadenfroh“,1000,1000
399,fk__p_37631,§,1000,1000
400,fk__p_37632,†,1000,1000
401,fk__p_37633,as.,1000,1000
402,fk__p_37634,"V., A.",1000,1000
403,fk__p_37635,A.,1000,1000
404,fk__p_37636,"S., A.",1000,1000
405,fk__p_37642,"C., A.",1000,1000
406,fk__p_37643,"Cziharz, A.",1000,1000
407,fk__p_37645,"Nora, A. de",1864,1936
408,fk__p_37647,"Einsle, Anton",1848,1897
409,fk__p_37648,"F., A.",1000,1000
410,fk__p_37650,"Seligmann, Adalbert Franz",1862,1945
4,fk__p_37655,"G., A.",1000,1000
411,fk__p_37656,"Ceschi a Santa Croce, Alois Graf ",1825,1905
412,fk__p_37657,"Grévin, Alfred",1827,1892
413,fk__p_37658,"H., A.",1000,1000
414,fk__p_37662,"Haffner, Adalbert",1846,1906
415,fk__p_37663,"Hamon, Augustin Frédéric Adolphe",1862,1945
416,fk__p_37664,"Hlawitschka, Anton",1861,1000
417,fk__p_37667,"Storfer, Adolf Josef",1888,1944
5,fk__p_37668,"K., A.",1000,1000
418,fk__p_37669,"Kloeber, Carl Friedrich August von",1793,1864
419,fk__p_37670,"Kolloden, Alexander",1847,1000
420,fk__p_37672,"L., A.",1000,1000
421,fk__p_37673,"Jellinek, Arthur L.",1876,1907
422,fk__p_37674,"Mazière, Adam Ludwig",1835,1881
423,fk__p_37675,"Latour, A. ",1000,1000
424,fk__p_37676,"M., A.",1000,1000
425,fk__p_37677,"O., A.",1000,1000
426,fk__p_37678,"P., A.",1000,1000
427,fk__p_37680,"Popp, Adelheid",1869,1939
428,fk__p_37681,"Pougin, Arthur",1834,1921
429,fk__p_37682,"R., A.",1000,1000
430,fk__p_37683,"Reischek, Andreas",1845,1902
431,fk__p_37684,"Rowina, Hanna",1888,1980
432,fk__p_37685,"Schidlo, Anton",1853,1930
433,fk__p_37686,"Seelig, A. (Konzertdirektion)",1000,1000
434,fk__p_37688,"Sp., A.",1000,1000
435,fk__p_37689,"Ströbel, August",1000,1000
436,fk__p_37690,"Star., A.",1000,1000
437,fk__p_37691,"Stauber, Albertine",1840,1912
438,fk__p_37692,"Str., A.",1000,1000
439,fk__p_37693,"Sutherland, Alexander",1852,1902
440,fk__p_37695,"T., A.",1000,1000
441,fk__p_37696,"Trampler, Adolf",1839,1909
442,fk__p_37697,"Treitner, Adolf",1868,1000
42,fk__p_37698,"A., A. von",1000,1000
443,fk__p_37699,"Baeyer, Adolf von",1835,1917
42,fk__p_37700,"D., A. von",1000,1000
444,fk__p_37701,"Ende, Amelia von",1856,1932
445,fk__p_37703,"Scala, Arthur von",1845,1909
446,fk__p_37704,"Zemlinsky, Alexander von",1871,1942
5,fk__p_37706,"K., A. W.",1000,1000
447,fk__p_37708,"Hoffmann, August Wilhelm von",1818,1892
448,fk__p_37710,"Walter, Alfred",1845,1926
449,fk__p_37711,"Wertheim, A. (Warenhaus)",1000,1000
450,fk__p_37714,Aali,1000,1000
451,fk__p_37715,Aaron,1000,1000
452,fk__p_37717,Petrus Abaelardus,1079,1142
453,fk__p_37719,Abati,1000,1000
454,fk__p_37720,Abbas II.,1874,1944
455,fk__p_37721,"Galiani, Ferdinando",1728,1787
456,fk__p_37725,Abdülaziz,1830,1876
457,fk__p_37726,"Dawey, Abdul Hadi Khan",1894,1982
458,fk__p_37729,Abdul Hamid II.,1842,1918
459,fk__p_37730,Abd Al Karim Nadir Pascha,1811,1885
460,fk__p_37731,Abdullah Pascha,1000,1000
461,fk__p_37733,"Abel, Heinrich",1843,1926
462,fk__p_37734,"Rey, Abel",1873,1940
463,fk__p_37736,Abeles,1000,1000
464,fk__p_37737,"Abeles, Otto",1879,1945
465,fk__p_37739,Abonnent des ‚Neuen Wiener Tagblatt‘,1000,1000
466,fk__p_37741,Abraham a Sancta Clara,1644,1709
467,fk__p_37743,"Mayer, Abraham",1000,1000
468,fk__p_37744,"Salomon, Abraham",1000,1000
469,fk__p_37745,"Schwadron, Abraham",1878,1957
470,fk__p_37746,"Abrahamowicz, David",1839,1926
471,fk__p_37747,"Abram, Simon",1871,1940
472,fk__p_37749,Abramoglou,1000,1000
473,fk__p_37751,"Achenbach, Andreas",1815,1910
474,fk__p_37752,"Vaucheret d’Ailly, Achille Georges",1873,1943
475,fk__p_37755,Achmed,1000,1000
476,fk__p_37756,Achmed Aga,1871,1000
477,fk__p_37758,Clemens VIII.,1536,1605
478,fk__p_37759,Achtundvierziger,1000,1000
479,fk__p_37760,"Acosta, Uriel",1585,1640
480,fk__p_37762,Actionär der Nordbahn,1000,1000
481,fk__p_37763,"Adalbert, Max",1874,1933
482,fk__p_37766,"Sternberg, Adalbert Graf",1868,1930
483,fk__p_37768,"Matkowsky, Adalbert",1858,1909
484,fk__p_37770,"Stifter, Adalbert",1805,1868
485,fk__p_37771,"Goldschmidt, Adalbert von",1848,1906
486,fk__p_37772,"Adalbert von Prag, Hl.",1000,1000
487,fk__p_37775,"Müller-Guttenbrunn, Adam",1852,1923
488,fk__p_37776,"Politzer, Adam",1835,1920
489,fk__p_37777,"Ries(e), Adam",1492,1559
490,fk__p_37778,"Sekira, Adam",1000,1000
491,fk__p_37779,"Jędrzejowicz, Adam von",1847,1924
492,fk__p_37780,"Adamberger, Antonie",1790,1867
493,fk__p_37781,"Adamek, Josef?",1851,1935
494,fk__p_37785,"K., Adele",1891,1000
495,fk__p_37786,"Crepaz, Adele, geb. Zarda",1841,1919
496,fk__p_37788,"Nova, Adele",1885,1000
6,fk__p_37791,"Strauß, Adele, geb. Deutsch",1856,1930
497,fk__p_37792,"Melcher, Adelheid",1000,1000
498,fk__p_37794,"Adelung, Johann Christoph",1732,1806
499,fk__p_37798,Adolf,1000,1000
500,fk__p_37799,"Amberg, Adolf",1874,1913
501,fk__p_37801,"Biedermann, Pauline, geb. Grünebaum",1861,1000
502,fk__p_37802,"Boehm, Adolf",1861,1927
503,fk__p_37803,"Busch, Adolf",1891,1952
504,fk__p_37804,"Damaschke, Adolf Wilhelm Ferdinand",1865,1935
505,fk__p_37805,"Dannegger, Adolf",1880,1926
506,fk__p_37806,"Donath, Adolf",1876,1937
507,fk__p_37809,"Frey, Adolf",1855,1920
508,fk__p_37810,"Friesz, Adolf",1861,1000
509,fk__p_37811,"Auersperg, Adolf Fürst",1821,1885
510,fk__p_37812,"Gelber, Adolf",1856,1923
511,fk__p_37813,"Glaser, Adolf",1836,1931
512,fk__p_37814,"Goldnagel, Adolf",1847,1929
513,fk__p_37815,"Grabowsky, Adolf",1880,1969
514,fk__p_37816,"Dubsky, Adolf Graf",1833,1911
515,fk__p_37817,"Grote, Adolf",1000,1000
516,fk__p_37819,"Hitler, Adolf",1889,1945
517,fk__p_37820,"Hoffmann, Adolph",1858,1930
518,fk__p_37821,"Kahn, Adolf",1847,1920
519,fk__p_37822,"Kaufmann, Adolf",1883,1933
520,fk__p_37823,"Kienzl, Adolf",1000,1000
521,fk__p_37824,"L., Adolf",1000,1000
522,fk__p_37825,"Landauer, Adolf",1828,1885
523,fk__p_37826,"Lapp, Adolf",1888,1000
524,fk__p_37828,"Lemayer, Adolf",1853,1000
525,fk__p_37829,"Lieben, Adolf",1836,1914
526,fk__p_37830,"Loos, Adolf",1870,1933
527,fk__p_37832,"Menzel, Adolph von",1815,1905
528,fk__p_37834,"Müller, Adolf sen.",1807,1886
