id,name,birth_year,death_year,id,name,birth_year,death_year
fk__p_54775,"Valentin, Karl",1882,1948,person__10316,"Valentin, Karl",1882,1948
fk__p_54771,"Vacano, Stefan",1874,1963,person__2957,"Vacano, Stefan",1874,1963
fk__p_54743,"Tschirschky-Bögendorf, Heinrich von",1858,1916,person__26229,"Tschirschky-Bögendorf, Heinrich von",1858,1916
fk__p_39173,"Brecht, Bertolt",1898,1956,person__11008,"Brecht, Bertolt",1898,1956
fk__p_39172,"Auerbach, Berthold",1812,1882,person__6050,"Auerbach, Berthold",1812,1882
fk__p_39165,"Bertens, Rosa",1860,1934,person__63404,"Bertens, Rosa",1860,1934
fk__p_54624,"Lauff, Joseph von",1855,1933,person__8507,"Lauff, Joseph von",1855,1933
fk__p_54564,"Hintze, Paul von",1864,1941,person__4669,"Hintze, Paul von",1864,1941
fk__p_37737,"Abeles, Otto",1879,1945,person__60610,"Abeles, Otto",1879,1945
fk__p_54455,"Bethmann-Hollweg, Theobald Theodor von",1856,1921,person__10908,"Bethmann-Hollweg, Theobald Theodor von",1856,1921
fk__p_54384,"Levetzow, Ulrike von",1804,1899,person__8604,"Levetzow, Ulrike von",1804,1899
fk__p_54380,"Ulrici, Hermann",1806,1884,person__10306,"Ulrici, Hermann",1806,1884
fk__p_39145,"Bernini, Gian Lorenzo",1598,1680,person__10902,"Bernini, Gian Lorenzo",1598,1680
fk__p_54352,"Udel, Carl",1844,1927,person__26272,"Udel, Carl",1844,1927
fk__p_54293,Dschingis Khan,1155,1227,person__15495,Dschingis Khan,1155,1227
fk__p_39139,"Bülow, Bernhard von",1849,1929,person__6560,"Bülow, Bernhard von",1849,1929
fk__p_54269,"Trompeteur, Adalbert",1884,1951,person__38303,"Trompeteur, Adalbert",1884,1951
fk__p_54266,"Bernard, Tristan",1866,1947,person__10893,"Bernard, Tristan",1866,1947
fk__p_54249,"Trebitsch, Siegfried",1868,1956,person__12968,"Trebitsch, Siegfried",1868,1956
fk__p_54243,"Traub, Gottfried",1869,1956,person__3900,"Traub, Gottfried",1869,1956
fk__p_54239,"Trakl, Georg",1887,1914,person__36113,"Trakl, Georg",1887,1914
fk__p_54224,"Toscanini, Arturo",1867,1957,person__10239,"Toscanini, Arturo",1867,1957
fk__p_54185,"Heine, Thomas Theodor",1867,1948,person__11643,"Heine, Thomas Theodor",1867,1948
fk__p_54183,"Mann, Thomas",1875,1955,person__12176,"Mann, Thomas",1875,1955
fk__p_54182,"Koschat, Thomas",1845,1914,person__8312,"Koschat, Thomas",1845,1914
fk__p_54179,"Hardy, Thomas",1840,1928,person__7692,"Hardy, Thomas",1840,1928
fk__p_54177,"Carlyle, Thomas",1795,1881,person__11074,"Carlyle, Thomas",1795,1881
fk__p_54132,"Blau, Tina",1845,1916,person__6322,"Blau, Tina",1845,1916
fk__p_54123,"Durieux, Tilla",1880,1971,person__11198,"Durieux, Tilla",1880,1971
fk__p_54118,Tiger,1000,1000,person__26065,Tiger,1000,1000
fk__p_54115,"Tietjen, Heinz",1881,1967,person__38318,"Tietjen, Heinz",1881,1967
fk__p_39122,"Buchbinder, Bernhard",1849,1922,person__6487,"Buchbinder, Bernhard",1849,1922
fk__p_54111,"Thiers, Louis Adolphe",1797,1877,person__25997,"Thiers, Louis Adolphe",1797,1877
fk__p_54110,"Tiepolo, Giovanni Battista",1696,1770,person__10225,"Tiepolo, Giovanni Battista",1696,1770
fk__p_54103,"Tezner, Friedrich",1856,1925,person__10198,"Tezner, Friedrich",1856,1925
fk__p_54099,"Theuriet, André",1833,1907,person__28667,"Theuriet, André",1833,1907
fk__p_39121,"Baumeister, Bernhard",1827,1917,person__6173,"Baumeister, Bernhard",1827,1917
fk__p_54095,"Teubler, Rudolf",1881,1943,person__25957,"Teubler, Rudolf",1881,1943
fk__p_54086,"Hašek, Jaroslav",1883,1923,person__62858,"Hašek, Jaroslav",1883,1923
fk__p_54084,"Terofal, Xaver",1862,1940,person__3982,"Terofal, Xaver",1862,1940
fk__p_54074,"Krones, Therese",1801,1830,person__19764,"Krones, Therese",1801,1830
fk__p_39116,"Bernau, Alfred",1879,1950,person__4040,"Bernau, Alfred",1879,1950
fk__p_54063,"Gautier, Théophile",1811,1872,person__64943,"Gautier, Théophile",1811,1872
fk__p_54060,"Dreiser, Theodore",1871,1945,person__6859,"Dreiser, Theodore",1871,1945
fk__p_39112,"Shaw, George Bernard",1856,1950,person__2381,"Shaw, George Bernard",1856,1950
fk__p_54043,"Reik, Theodor",1888,1969,person__12495,"Reik, Theodor",1888,1969
